sku_id,product_name,category,unit_price,unit_cost,margin_pct
SKU0001,DarkOliveGreen Shirt,Apparel,71.82,42.38,40.99
SKU0002,Bisque Shirt,Apparel,116.5,60.55,48.03
SKU0003,LightSalmon Jacket,Apparel,44.5,19.19,56.88
SKU0004,LemonChiffon Dress,Apparel,32.26,18.49,42.68
SKU0005,Ivory Dress,Apparel,100.14,54.24,45.84
SKU0006,DarkSlateGray Dress,Apparel,27.57,16.38,40.59
SKU0007,DarkKhaki Shirt,Apparel,129.06,57.1,55.76
SKU0008,YellowGreen Shoes,Apparel,47.73,20.84,56.34
SKU0009,DarkCyan Shirt,Apparel,63.03,31.83,49.5
SKU0010,Peru Shoes,Apparel,78.99,36.2,54.17
SKU0011,BlanchedAlmond Pants,Apparel,101.48,43.42,57.21
SKU0012,Black Shirt,Apparel,61.52,29.12,52.67
SKU0013,DarkGoldenRod Shirt,Apparel,82.01,45.68,44.3
SKU0014,IndianRed Shirt,Apparel,49.96,25.12,49.72
SKU0015,Lavender Dress,Apparel,99.05,40.54,59.07
SKU0016,Tan Dress,Apparel,100.94,43.82,56.59
SKU0017,Bisque Shoes,Apparel,33.13,19.54,41.02
SKU0018,Gray Shoes,Apparel,145.7,81.84,43.83
SKU0019,YellowGreen Shirt,Apparel,63.08,26.46,58.05
SKU0020,PeachPuff Shoes,Apparel,110.53,53.94,51.2
SKU0021,Indigo Dress,Apparel,40.25,20.09,50.09
SKU0022,RosyBrown Shoes,Apparel,29.3,17.05,41.81
SKU0023,LightSeaGreen Pants,Apparel,57.35,30.54,46.75
SKU0024,AntiqueWhite Dress,Apparel,63.96,32.24,49.59
SKU0025,DimGray Pants,Apparel,93.34,40.79,56.3
SKU0026,Peru Shoes,Apparel,146.2,81.14,44.5
SKU0027,MediumSpringGreen Jacket,Apparel,142.44,82.47,42.1
SKU0028,LightSeaGreen Shirt,Apparel,99.74,58.29,41.56
SKU0029,DeepSkyBlue Dress,Apparel,36.06,15.84,56.07
SKU0030,IndianRed Pants,Apparel,30.65,14.25,53.51
SKU0031,Smart Laptop,Electronics,372.07,169.02,54.57
SKU0032,Pro Tablet,Electronics,680.12,320.58,52.86
